merged_spelling,ipa,langid
{jpn}かぶれる,k a̠ b ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}かへい,k a̠ h e̞ː,0
{jpn}かべがみ,k a̠ b e̞ ɡ a̠ mʲ i,0
{jpn}かま,k a̠ m a̠,0
{jpn}かまう,k a̠ m a̠ ɯ̟ᵝ,0
{jpn}かまきり,k a̠ m a̠ kʲ i ɾʲ i,0
{jpn}かまくら,k a̠ m a̠ k ɯ̟ᵝ ɾ a̠,0
{jpn}かまびすしい,k a̠ m a̠ bʲ i s ɨᵝ ɕ i i,0
{jpn}かまぼこ,k a̠ m a̠ b o̞ k o̞,0
{jpn}かみ,k a̠ mʲ i,0
{jpn}かみあう,k a̠ mʲ i a̠ ɯ̟ᵝ,0
{jpn}かみあわせる,k a̠ mʲ i a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ,0
{jpn}かみがた,k a̠ mʲ i ɡ a̠ t a̠,0
{jpn}かみこなす,k a̠ mʲ i k o̞ n a̠ s ɨᵝ,0
{jpn}かみころす,k a̠ mʲ i k o̞ ɾ o̞ s ɨᵝ,0
{jpn}かみさま,k a̠ mʲ i s a̠ m a̠,0
{jpn}かみしばい,k a̠ mʲ i ɕ i b a̠ i,0
{jpn}かみしめる,k a̠ mʲ i ɕ i m e̞ ɾ ɯ̟ᵝ,0
{jpn}かみだな,k a̠ mʲ i d a̠ n a̠,0
{jpn}かみなり,k a̠ mʲ i n a̠ ɾʲ i,0
{jpn}かみにだんかつよう,k a̠ mʲ i ɲ̟ i d ã̠ ŋ k a̠ t͡s ɨᵝ j o̞ː,0
{jpn}かみのけざ,k a̠ mʲ i n o̞ k e̞ z a̠,0
{jpn}かみひこうき,k a̠ mʲ i ç i̥ k o̞ː kʲ i,0
{jpn}かみまき,k a̠ mʲ i m a̠ kʲ i,0
{jpn}かみやすり,k a̠ mʲ i j a̠ s ɨᵝ ɾʲ i,0
{jpn}かむ,k a̠ m ɯ̟ᵝ,0
{jpn}かめ,k a̠ m e̞,0
{jpn}かも,k a̠ m o̞,0
{jpn}かもく,k a̠ m o̞ k ɯ̟ᵝ,0
{jpn}かもしか,k a̠ m o̞ ɕ i̥ k a̠,0
{jpn}かもしだす,k a̠ m o̞ ɕ i d a̠ s ɨᵝ,0
{jpn}かもつれっしゃ,k a̠ m o̞ t͡s ɨᵝ ɾ e̞ ɕː a̠,0
{jpn}かもめ,k a̠ m o̞ m e̞,0
{jpn}かやきん,k a̠ j a̠ kʲ ĩ ɴ,0
{jpn}かやく,k a̠ j a̠ k ɯ̟ᵝ,0
{jpn}かゆ,k a̠ j ɯ̟ᵝ,0
{jpn}かよわい,k a̠ j o̞ ɰᵝ a̠ i,0
{jpn}から,k a̠ ɾ a̠,0
{jpn}からあげ,k a̠ ɾ a̠ː ɡ e̞,0
{jpn}からい,k a̠ ɾ a̠ i,0
{jpn}からかう,k a̠ ɾ a̠ k a̠ ɯ̟ᵝ,0
{jpn}からくだもの,k a̠ ɾ a̠ k ɯ̟ᵝ d a̠ m o̞ n o̞,0
{jpn}からす,k a̠ ɾ a̠ s ɨᵝ,0
{jpn}からすとんび,k a̠ ɾ a̠ s ɨ̥ᵝ t õ̞ m bʲ i,0
{jpn}からだ,k a̠ ɾ a̠ d a̠,0
{jpn}からだき,k a̠ ɾ a̠ d a̠ kʲ i,0
{jpn}からぼり,k a̠ ɾ a̠ b o̞ ɾʲ i,0
{jpn}からみつく,k a̠ ɾ a̠ mʲ i t͡s ɨᵝ k ɯ̟ᵝ,0
{jpn}からむ,k a̠ ɾ a̠ m ɯ̟ᵝ,0
{jpn}からもの,k a̠ ɾ a̠ m o̞ n o̞,0
{jpn}かり,k a̠ ɾʲ i,0
{jpn}かりうた,k a̠ ɾʲ i ɯ̟ᵝ t a̠,0
{jpn}かりしゃくほう,k a̠ ɾʲ i ɕ a̠ k ɯ̟̊ᵝ h o̞ː,0
{jpn}かりそめ,k a̠ ɾʲ i s o̞ m e̞,0
{jpn}かりちん,k a̠ ɾʲ i t͡ɕ ĩ ɴ,0
{jpn}かりとる,k a̠ ɾʲ i t o̞ ɾ ɯ̟ᵝ,0
{jpn}かりな,k a̠ ɾʲ i n a̠,0
{jpn}かりも,k a̠ ɾʲ i m o̞,0
{jpn}かる,k a̠ ɾ ɯ̟ᵝ,0
{jpn}かるい,k a̠ ɾ ɯ̟ᵝ i,0
{jpn}かるさん,k a̠ ɾ ɯ̟ᵝ s ã̠ ɴ,0
{jpn}かれつ,k a̠ ɾ e̞ t͡s ɨᵝ,0
{jpn}かれは,k a̠ ɾ e̞ h a̠,0
{jpn}かれる,k a̠ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}かろう,k a̠ ɾ o̞ː,0
{jpn}かわ,k a̠ ɰᵝ a̠,0
{jpn}かわいい,k a̠ ɰᵝ a̠ i i,0
{jpn}かわいそう,k a̠ ɰᵝ a̠ i s o̞ː,0
{jpn}かわいらしい,k a̠ ɰᵝ a̠ i ɾ a̠ ɕ iː,0
{jpn}かわく,k a̠ ɰᵝ a̠ k ɯ̟ᵝ,0
{jpn}かわぐち,k a̠ ɰᵝ a̠ ɡ ɯ̟ᵝ t͡ɕ i,0
{jpn}かわす,k a̠ ɰᵝ a̠ s ɨᵝ,0
{jpn}かわら,k a̠ ɰᵝ a̠ ɾ a̠,0
{jpn}かわらひわ,k a̠ ɰᵝ a̠ ɾ a̠ ç i ɰᵝ a̠,0
{jpn}かわり,k a̠ ɰᵝ a̠ ɾʲ i,0
{jpn}かわる,k a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ,0
{jpn}かんい,k ã̠ ɰ̃ i,0
{jpn}かんいっぱつ,k ã̠ ɰ̃ i p̚ p a̠ t͡s ɨᵝ,0
{jpn}かんいん,k ã̠ ɰ̃ ĩ ɴ,0
{jpn}かんえん,k ã̠ ɰ̃ ẽ̞ ɴ,0
{jpn}かんおん,k ã̠ ɰ̃ õ̞ ɴ,0
{jpn}かんかじ,k ã̠ ŋ k a̠ ʑ i,0
{jpn}かんかつ,k ã̠ ŋ k a̠ t͡s ɨᵝ,0
{jpn}かんがい,k ã̠ ŋ ɡ a̠ i,0
{jpn}かんがいむりょう,k ã̠ ŋ ɡ a̠ i m ɯ̟ᵝ ɾʲ o̞ː,0
{jpn}かんがえる,k ã̠ ŋ ɡ a̠ e̞ ɾ ɯ̟ᵝ,0
{jpn}かんき,k ã̠ ŋʲ kʲ i,0
{jpn}かんきこう,k ã̠ ŋʲ kʲ i k o̞ː,0
{jpn}かんけ,k ã̠ ŋ k e̞,0
{jpn}かんけいどうぶつ,k ã̠ ŋ k e̞ː d o̞ː b ɯ̟ᵝ t͡s ɨᵝ,0
{jpn}かんけつせん,k ã̠ ŋ k e̞ t͡s ɨ̥ᵝ s ẽ̞ ɴ,0
{jpn}かんげい,k ã̠ ŋ ɡ e̞ː,0
{jpn}かんこう,k ã̠ ŋ k o̞ː,0
{jpn}かんこく,k ã̠ ŋ k o̞ k ɯ̟ᵝ,0
{jpn}かんこどり,k ã̠ ŋ k o̞ d o̞ ɾʲ i,0
{jpn}かんこれ,k ã̠ ŋ k o̞ ɾ e̞,0
{jpn}かんこんそうさい,k ã̠ ŋ k õ̞ ɰ̃ s o̞ː s a̠ i,0
{jpn}かんごし,k ã̠ ŋ ɡ o̞ ɕ i,0
{jpn}かんごふ,k ã̠ ŋ ɡ o̞ ɸ ɯ̟ᵝ,0
{jpn}かんさいじん,k ã̠ ɰ̃ s a̠ i ʑ ĩ ɴ,0
{jpn}かんさいぼう,k ã̠ ɰ̃ s a̠ i b o̞ː,0
{jpn}かんさつ,k ã̠ ɰ̃ s a̠ t͡s ɨᵝ,0
{jpn}かんし,k ã̠ ɰ̃ ɕ i,0
{jpn}かんしつけい,k ã̠ ɰ̃ ɕ i t͡s ɨᵝ k e̞ː,0
{jpn}かんしょ,k ã̠ ɰ̃ ɕ o̞,0
{jpn}かんしょく,k ã̠ ɰ̃ ɕ o̞ k ɯ̟ᵝ,0
{jpn}かんじ,k ã̠ ɲ̟ d͡ʑ i,0
{jpn}かんじゅ,k ã̠ ɲ̟ d͡ʑ ɨᵝ,0
{jpn}かんじゅく,k ã̠ ɲ̟ d͡ʑ ɨᵝ k ɯ̟ᵝ,0
{jpn}かんじょうてき,k ã̠ ɲ̟ d͡ʑ o̞ː t e̞ kʲ i,0
{jpn}かんすう,k ã̠ ɰ̃ s ɨᵝː,0
{jpn}かんする,k ã̠ ɰ̃ s ɨᵝ ɾ ɯ̟ᵝ,0
{jpn}かんせいけい,k ã̠ ɰ̃ s e̞ː k e̞ː,0
{jpn}かんせつしょうめい,k ã̠ ɰ̃ s e̞ t͡s ɨᵝ ɕ o̞ː m e̞ː,0
{jpn}かんせつわほう,k ã̠ ɰ̃ s e̞ t͡s ɨᵝ ɰᵝ a̠ h o̞ː,0
{jpn}かんせん,k ã̠ ɰ̃ s ẽ̞ ɴ,0
{jpn}かんせんげん,k ã̠ ɰ̃ s ẽ̞ ŋ ɡ ẽ̞ ɴ,0
{jpn}かんせんしょう,k ã̠ ɰ̃ s ẽ̞ ɰ̃ ɕ o̞ː,0
{jpn}かんぜん,k ã̠ n d͡z ẽ̞ ɴ,0
{jpn}かんそうき,k ã̠ ɰ̃ s o̞ː kʲ i,0
{jpn}かんたく,k ã̠ n t a̠ k ɯ̟ᵝ,0
{jpn}かんたん,k ã̠ n t ã̠ ɴ,0
{jpn}かんちょう,k ã̠ ɲ̟ t͡ɕ o̞ː,0
{jpn}かんてい,k ã̠ n t e̞ː,0
{jpn}かんてん,k ã̠ n t ẽ̞ ɴ,0
{jpn}かんとく,k ã̠ n t o̞ k ɯ̟ᵝ,0
{jpn}かんな,k ã̠ nː a̠,0
{jpn}かんなぎ,k ã̠ nː a̠ ɡʲ i,0
{jpn}かんなん,k ã̠ nː ã̠ ɴ,0
{jpn}かんばん,k ã̠ m b ã̠ ɴ,0
{jpn}かんばんむすめ,k ã̠ m b ã̠ m m ɯ̟ᵝ s ɨᵝ m e̞,0
{jpn}かんぱい,k ã̠ m p a̠ i,0
{jpn}かんび,k ã̠ m bʲ i,0
{jpn}かんぶ,k ã̠ m b ɯ̟ᵝ,0
{jpn}かんぶつ,k ã̠ m b ɯ̟ᵝ t͡s ɨᵝ,0
{jpn}かんぷく,k ã̠ m p ɯ̟ᵝ k ɯ̟ᵝ,0
{jpn}かんぺき,k ã̠ m p e̞ kʲ i,0
{jpn}かんぼつ,k ã̠ m b o̞ t͡s ɨᵝ,0
{jpn}かんぽ,k ã̠ m p o̞,0
{jpn}かんぽどうぶつ,k ã̠ m p o̞ d o̞ː b ɯ̟ᵝ t͡s ɨᵝ,0
{jpn}かんみりょう,k ã̠ mʲː i ɾʲ o̞ː,0
{jpn}かんむりょう,k ã̠ mː ɯ̟ᵝ ɾʲ o̞ː,0
{jpn}かんむりわし,k ã̠ mː ɯ̟ᵝ ɾʲ i ɰᵝ a̠ ɕ i,0
{jpn}かんゆう,k ã̠ ɰ̃ j ɯ̟ᵝː,0
{jpn}かんようご,k ã̠ ɰ̃ j o̞ː ɡ o̞,0
{jpn}かんらん,k ã̠ n ɾ ã̠ ɴ,0
{jpn}かんりょう,k ã̠ n ɾʲ o̞ː,0
{jpn}かんりょうせい,k ã̠ n ɾʲ o̞ː s e̞ː,0
{jpn}かんれいしゃ,k ã̠ n ɾ e̞ː ɕ a̠,0
{jpn}かんれき,k ã̠ n ɾ e̞ kʲ i,0
{jpn}かんろ,k ã̠ n ɾ o̞,0
{jpn}か゚,ŋ a̠,0
{jpn}がいか,ɡ a̠ i k a̠,0
{jpn}がいこうかん,ɡ a̠ i k o̞ː k ã̠ ɴ,0
{jpn}がいこうじれい,ɡ a̠ i k o̞ː ʑ i ɾ e̞ː,0
{jpn}がいこく,ɡ a̠ i k o̞ k ɯ̟ᵝ,0
{jpn}がいこくご,ɡ a̠ i k o̞ k ɯ̟ᵝ ɡ o̞,0
{jpn}がいこくじん,ɡ a̠ i k o̞ k ɯ̟ᵝ ʑ ĩ ɴ,0
{jpn}がいこくじんけんお,ɡ a̠ i k o̞ k ɯ̟ᵝ ʑ ĩ ŋ k ẽ̞ ɰ̃ o̞,0
{jpn}がいこつ,ɡ a̠ i k o̞ t͡s ɨᵝ,0
{jpn}がいご,ɡ a̠ i ɡ o̞,0
{jpn}がいじん,ɡ a̠ i ʑ ĩ ɴ,0
{jpn}がいする,ɡ a̠ i s ɨᵝ ɾ ɯ̟ᵝ,0
{jpn}がいせん,ɡ a̠ i s ẽ̞ ɴ,0
{jpn}がいちょう,ɡ a̠ i t͡ɕ o̞ː,0
{jpn}がいでん,ɡ a̠ i d ẽ̞ ɴ,0
{jpn}がいはく,ɡ a̠ i h a̠ k ɯ̟ᵝ,0
{jpn}がいむしょう,ɡ a̠ i m ɯ̟ᵝ ɕ o̞ː,0
{jpn}がいや,ɡ a̠ i j a̠,0
{jpn}がいよう,ɡ a̠ i j o̞ː,0
{jpn}がいようらん,ɡ a̠ i j o̞ː ɾ ã̠ ɴ,0
{jpn}がいらいご,ɡ a̠ i ɾ a̠ i ɡ o̞,0
{jpn}がいりゃく,ɡ a̠ i ɾʲ a̠ k ɯ̟ᵝ,0
{jpn}がか,ɡ a̠ k a̠,0
{jpn}がかざ,ɡ a̠ k a̠ z a̠,0
{jpn}がき,ɡ a̠ kʲ i,0
{jpn}がくい,ɡ a̠ k ɯ̟ᵝ i,0
{jpn}がくいん,ɡ a̠ k ɯ̟ᵝ ĩ ɴ,0
{jpn}がくがく,ɡ a̠ k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ,0
{jpn}がくし,ɡ a̠ k ɯ̟̊ᵝ ɕ i,0
{jpn}がくしゃ,ɡ a̠ k ɯ̟ᵝ ɕ a̠,0
{jpn}がくしょう,ɡ a̠ k ɯ̟ᵝ ɕ o̞ː,0
{jpn}がくぜん,ɡ a̠ k ɯ̟ᵝ z ẽ̞ ɴ,0
{jpn}がくと,ɡ a̠ k ɯ̟ᵝ t o̞,0
{jpn}がくひ,ɡ a̠ k ɯ̟ᵝ ç i,0
{jpn}がくふ,ɡ a̠ k ɯ̟ᵝ ɸ ɯ̟ᵝ,0
{jpn}がくぶち,ɡ a̠ k ɯ̟ᵝ b ɯ̟ᵝ t͡ɕ i,0
{jpn}がごう,ɡ a̠ ɡ o̞ː,0
{jpn}がさつ,ɡ a̠ s a̠ t͡s ɨᵝ,0
{jpn}がし,ɡ a̠ ɕ i,0
{jpn}がぜん,ɡ a̠ z ẽ̞ ɴ,0
{jpn}がそ,ɡ a̠ s o̞,0
{jpn}がたおち,ɡ a̠ t a̠ o̞ t͡ɕ i,0
{jpn}がちょう,ɡ a̠ t͡ɕ o̞ː,0
{jpn}がっか,ɡ a̠ k̚ k a̠,0
{jpn}がっきょく,ɡ a̠ k̚ʲ kʲ o̞ k ɯ̟ᵝ,0
{jpn}がっこ,ɡ a̠ k̚ k o̞,0
{jpn}がってん,ɡ a̠ t̚ t ẽ̞ ɴ,0
{jpn}がってんし,ɡ a̠ t̚ t ẽ̞ ɰ̃ ɕ i,0
{jpn}がっぴ,ɡ a̠ p̚ʲ pʲ i,0
{jpn}がにまた,ɡ a̠ ɲ̟ i m a̠ t a̠,0
{jpn}がま,ɡ a̠ m a̠,0
{jpn}がまんづよい,ɡ a̠ m ã̠ n d͡z ɨᵝ j o̞ i,0
{jpn}がらん,ɡ a̠ ɾ ã̠ ɴ,0
{jpn}がらんび,ɡ a̠ ɾ ã̠ m bʲ i,0
{jpn}がりべん,ɡ a̠ ɾʲ i b ẽ̞ ɴ,0
{jpn}がりょう,ɡ a̠ ɾʲ o̞ː,0
{jpn}がれき,ɡ a̠ ɾ e̞ kʲ i,0
{jpn}がろう,ɡ a̠ ɾ o̞ː,0
{jpn}がわ,ɡ a̠ ɰᵝ a̠,0
{jpn}がん,ɡ ã̠ ɴ,0
{jpn}がんがれ,ɡ ã̠ ŋ ɡ a̠ ɾ e̞,0
{jpn}がんきゅう,ɡ ã̠ ŋʲ kʲ ɨᵝː,0
{jpn}がんきょう,ɡ ã̠ ŋʲ kʲ o̞ː,0
{jpn}がんこう,ɡ ã̠ ŋ k o̞ː,0
{jpn}がんしゃ,ɡ ã̠ ɰ̃ ɕ a̠,0
{jpn}がんせき,ɡ ã̠ ɰ̃ s e̞ kʲ i,0
{jpn}がんたん,ɡ ã̠ n t ã̠ ɴ,0
{jpn}がんねん,ɡ ã̠ nː ẽ̞ ɴ,0
{jpn}がんばれ,ɡ ã̠ m b a̠ ɾ e̞,0
{jpn}がんもどき,ɡ ã̠ mː o̞ d o̞ kʲ i,0
{jpn}がんやく,ɡ ã̠ ɰ̃ j a̠ k ɯ̟ᵝ,0
{jpn}がんゆう,ɡ ã̠ ɰ̃ j ɯ̟ᵝː,0
{jpn}がんりょう,ɡ ã̠ n ɾʲ o̞ː,0
{jpn}きあんこう,kʲ i ã̠ ŋ k o̞ː,0
{jpn}きい,kʲ iː,0
{jpn}きいろ,kʲ i i ɾ o̞,0
{jpn}きぇ,kʲ e̞,0
{jpn}きえ,kʲ i e̞,0
{jpn}きえさる,kʲ i e̞ s a̠ ɾ ɯ̟ᵝ,0
{jpn}きえはてる,kʲ i e̞ h a̠ t e̞ ɾ ɯ̟ᵝ,0
{jpn}きえる,kʲ i e̞ ɾ ɯ̟ᵝ,0
{jpn}きえん,kʲ i ẽ̞ ɴ,0
{jpn}きか,kʲ i k a̠,0
{jpn}きかいせい,kʲ i k a̠ i s e̞ː,0
{jpn}きかいせいたい,kʲ i k a̠ i s e̞ː t a̠ i,0
{jpn}きかえる,kʲ i̥ k a̠ e̞ ɾ ɯ̟ᵝ,0
{jpn}きかがく,kʲ i̥ k a̠ ɡ a̠ k ɯ̟ᵝ,0
{jpn}きかく,kʲ i k a̠ k ɯ̟ᵝ,0
{jpn}きかくか,kʲ i k a̠ k ɯ̟ᵝ k a̠,0
{jpn}きかこうがく,kʲ i k a̠ k o̞ː ɡ a̠ k ɯ̟ᵝ,0
{jpn}きかしょくぶつ,kʲ i k a̠ ɕ o̞ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨᵝ,0
{jpn}きかんしゃ,kʲ i k ã̠ ɰ̃ ɕ a̠,0
{jpn}きが,kʲ i ɡ a̠,0
{jpn}きがくるう,kʲ i ɡ a̠ k ɯ̟ᵝ ɾ ɯ̟ᵝː,0
{jpn}きがじゅくする,kʲ i ɡ a̠ d͡ʑ ɨᵝ k ɯ̟ᵝ s ɨᵝ ɾ ɯ̟ᵝ,0
{jpn}きがね,kʲ i ɡ a̠ n e̞,0
{jpn}きがる,kʲ i ɡ a̠ ɾ ɯ̟ᵝ,0
{jpn}きき,kʲ i kʲ i,0
{jpn}ききいっぱつ,kʲ i kʲ iː p̚ p a̠ t͡s ɨᵝ,0
{jpn}ききいる,kʲ i kʲ iː ɾ ɯ̟ᵝ,0
{jpn}ききおとす,kʲ i kʲ i n o̞ ɡ a̠ s ɨᵝ,0
{jpn}ききかんり,kʲ i kʲ i k ã̠ n ɾʲ i,0
{jpn}ききながす,kʲ i kʲ i n a̠ ɡ a̠ s ɨᵝ,0
{jpn}ききはずす,kʲ i kʲ i h a̠ z ɨᵝ s ɨᵝ,0
{jpn}きぎょうか,kʲ i ɡʲ o̞ː k a̠,0
{jpn}きくきん,kʲ i k ɯ̟ᵝ kʲ ĩ ɴ,0
{jpn}きくのせっく,kʲ i k ɯ̟ᵝ n o̞ s e̞ k̚ k ɯ̟ᵝ,0
{jpn}きくらげ,kʲ i k ɯ̟ᵝ ɾ a̠ ɡ e̞,0
{jpn}きくん,kʲ i k ɯ̟̃ᵝ ɴ,0
{jpn}きぐう,kʲ i ɡ ɯ̟ᵝː,0
{jpn}きこくしじょ,kʲ i k o̞ k ɯ̟ᵝ ɕ i ʑ o̞,0
{jpn}きこなす,kʲ i k o̞ n a̠ s ɨᵝ,0
{jpn}きこり,kʲ i k o̞ ɾʲ i,0
{jpn}きこん,kʲ i k õ̞ ɴ,0
{jpn}きごう,kʲ i ɡ o̞ː,0
{jpn}きごうがく,kʲ i ɡ o̞ː ɡ a̠ k ɯ̟ᵝ,0
{jpn}きさらぎ,kʲ i̥ s a̠ ɾ a̠ ɡʲ i,0
{jpn}きざ,kʲ i z a̠,0
{jpn}きざし,kʲ i z a̠ ɕ i,0
{jpn}きざむ,kʲ i z a̠ m ɯ̟ᵝ,0
{jpn}きし,kʲ i ɕ i,0
{jpn}きしなみ,kʲ i ɕ i n a̠ mʲ i,0
{jpn}きしべ,kʲ i ɕ i b e̞,0
{jpn}きしむ,kʲ i ɕ i m ɯ̟ᵝ,0
{jpn}きじゅつ,kʲ i ʑ ɨᵝ t͡s ɨᵝ,0
{jpn}きじゅん,kʲ i ʑ ɨ̃ᵝ ɴ,0
{jpn}きじょ,kʲ i ʑ o̞,0
{jpn}きじん,kʲ i ʑ ĩ ɴ,0
{jpn}きす,kʲ i s ɨᵝ,0
{jpn}きすう,kʲ i s ɨᵝː,0
{jpn}きず,kʲ i z ɨᵝ,0
{jpn}きずあと,kʲ i z ɨᵝ a̠ t o̞,0
{jpn}きずきあげる,kʲ i z ɨᵝ kʲ i a̠ ɡ e̞ ɾ ɯ̟ᵝ,0
{jpn}きずく,kʲ i z ɨᵝ k ɯ̟ᵝ,0
{jpn}きずつく,kʲ i z ɨᵝ t͡s ɨᵝ k ɯ̟ᵝ,0
{jpn}きずつける,kʲ i z ɨᵝ t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ,0
{jpn}きせいちゅう,kʲ i s e̞ː t͡ɕ ɨᵝː,0
{jpn}きせきてき,kʲ i s e̞ kʲ i t e̞ kʲ i,0
{jpn}きせつ,kʲ i s e̞ t͡s ɨᵝ,0
{jpn}きそく,kʲ i s o̞ k ɯ̟ᵝ,0
{jpn}きそくてき,kʲ i s o̞ k ɯ̟ᵝ t e̞ kʲ i,0
{jpn}きそん,kʲ i s õ̞ ɴ,0
{jpn}きたいはずれ,kʲ i t a̠ i h a̠ z ɨᵝ ɾ e̞,0
{jpn}きたえる,kʲ i t a̠ e̞ ɾ ɯ̟ᵝ,0
{jpn}きたかいきせん,kʲ i̥ t a̠ k a̠ i kʲ i̥ s ẽ̞ ɴ,0
{jpn}きたこれ,kʲ i t a̠ k o̞ ɾ e̞,0
{jpn}きたす,kʲ i t a̠ s ɨᵝ,0
{jpn}きたない,kʲ i̥ t a̠ n a̠ i,0
{jpn}きたないばくだん,kʲ i t a̠ n a̠ i b a̠ k ɯ̟ᵝ d ã̠ ɴ,0
{jpn}きだい,kʲ i d a̠ i,0
{jpn}きだて,kʲ i d a̠ t e̞,0
{jpn}きちょうめん,kʲ i̥ t͡ɕ o̞ː m ẽ̞ ɴ,0
{jpn}きっさてん,kʲ i sː a̠ t ẽ̞ ɴ,0
{jpn}きっと,kʲ i̥ t̚ t o̞,0
{jpn}きつい,kʲ i̥ t͡s ɨᵝ i,0
{jpn}きつつき,kʲ i̥ t͡s ɨᵝ t͡s ɨ̥ᵝ kʲ i,0
{jpn}きつね,kʲ i̥ t͡s ɨᵝ n e̞,0
{jpn}きつねあざみ,ɡ a̠,0
{jpn}きづかわしい,kʲ i z ɨᵝ k a̠ ɰᵝ a̠ ɕ i i,0
{jpn}きと,kʲ i t o̞,0
{jpn}きどあいらく,kʲ i d o̞ a̠ i ɾ a̠ k ɯ̟ᵝ,0
{jpn}きどう,kʲ i d o̞ː,0
{jpn}きなこ,kʲ i n a̠ k o̞,0
{jpn}きにする,kʲ i ɲ̟ i s ɨᵝ ɾ ɯ̟ᵝ,0
{jpn}きにち,kʲ i ɲ̟ i t͡ɕ i,0
{jpn}きぬいと,kʲ i n ɯ̟ᵝ i t o̞,0
{jpn}きぬのみち,kʲ i n ɯ̟ᵝ n o̞ mʲ i t͡ɕ i,0
{jpn}きね,kʲ i n e̞,0
{jpn}きねんひん,kʲ i n ẽ̞ ɰ̃ ç ĩ ɴ,0
{jpn}きのう,kʲ i n o̞ː,0
{jpn}きのこ,kʲ i n o̞ k o̞,0
{jpn}きはつせい,kʲ i h a̠ t͡s ɨᵝ s e̞ː,0
{jpn}きはつゆ,kʲ i̥ h a̠ t͡s ɨᵝ j ɯ̟ᵝ,0
{jpn}きはんじ,kʲ i h ã̠ ɲ̟ d͡ʑ i,0
{jpn}きば,kʲ i b a̠,0
{jpn}きびしい,kʲ i bʲ i ɕ i i,0
{jpn}きほう,kʲ i h o̞ː,0
{jpn}きぼう,kʲ i b o̞ː,0
{jpn}きまぐれ,kʲ i m a̠ ɡ ɯ̟ᵝ ɾ e̞,0
{jpn}きまじめ,kʲ i m a̠ ʑ i m e̞,0
{jpn}きまま,kʲ i m a̠ m a̠,0
{jpn}きまり,kʲ i m a̠ ɾʲ i,0
{jpn}きまりじ,kʲ i m a̠ ɾʲ i ʑ i,0
{jpn}きまる,kʲ i m a̠ ɾ ɯ̟ᵝ,0
{jpn}きみ,kʲ i mʲ i,0
{jpn}きみょうきてれつ,kʲ i mʲ o̞ː kʲ i t e̞ ɾ e̞ t͡s ɨᵝ,0
{jpn}きも,k ã̠ ɴ,0
{jpn}きもの,kʲ i m o̞ n o̞,0
{jpn}きゃ,kʲ a̠,0
{jpn}きゃくしょく,kʲ a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ,0
{jpn}きゃくま,kʲ a̠ k ɯ̟ᵝ m a̠,0
{jpn}きゃっか,kʲ a̠ k̚ k a̠,0
{jpn}きゅう,kʲ ɨᵝː,0
{jpn}きゅうきん,kʲ ɨᵝː kʲ ĩ ɴ,0
{jpn}きゅうけい,kʲ ɨᵝː k e̞ː,0
{jpn}きゅうけつき,kʲ ɨᵝː k e̞ t͡s ɨ̥ᵝ kʲ i,0
{jpn}きゅうげき,kʲ ɨᵝː ɡ e̞ kʲ i,0
{jpn}きゅうげん,kʲ ɨᵝː ɡ ẽ̞ ɴ,0
{jpn}きゅうご,kʲ ɨᵝː ɡ o̞,0
{jpn}きゅうごう,kʲ ɨᵝː ɡ o̞ː,0
{jpn}きゅうしき,kʲ ɨᵝː ɕ i kʲ i,0
{jpn}きゅうしふ,kʲ ɨᵝː ɕ i ɸ ɯ̟ᵝ,0
{jpn}きゅうしょう,kʲ ɨᵝː ɕ o̞ː,0
{jpn}きゅうしんしゅぎ,kʲ ɨᵝː ɕ ĩ ɰ̃ ɕ ɨᵝ ɡʲ i,0
{jpn}きゅうじ,kʲ ɨᵝː ʑ i,0
{jpn}きゅうすい,kʲ ɨᵝː s ɨᵝ i,0
{jpn}きゅうせいしゅ,kʲ ɨᵝː s e̞ː ɕ ɨᵝ,0
{jpn}きゅうせかいざる,kʲ ɨᵝː s e̞ k a̠ i z a̠ ɾ ɯ̟ᵝ,0
{jpn}きゅうそう,kʲ ɨᵝː s o̞ː,0
{jpn}きゅうねん,kʲ ɨᵝː n ẽ̞ ɴ,0
{jpn}きゅうのう,kʲ ɨᵝː n o̞ː,0
{jpn}きゅうひ,kʲ ɨᵝː ç i,0
{jpn}きゅうへい,kʲ ɨᵝː h e̞ː,0
{jpn}きゅうぼ,kʲ ɨᵝː b o̞,0
{jpn}きゅうよ,kʲ ɨᵝː j o̞,0
{jpn}きゅうり,kʲ ɨᵝː ɾʲ i,0
{jpn}きょう,kʲ o̞ː,0
{jpn}きょういくがく,kʲ o̞ː i k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ,0
{jpn}きょうえいもじ,kʲ o̞ː e̞ː m o̞ ʑ i,0
{jpn}きょうえん,kʲ o̞ː ẽ̞ ɴ,0
{jpn}きょうかすいげつ,kʲ o̞ː k a̠ s ɨᵝ i ɡ e̞ t͡s ɨᵝ,0
